text,processed_text,target
well,well,positive
nah jkin he s hot so bored now,nah jkin he s hot so bored now,neutral
ahhh i m sqeaky clean and fresh even though i m wearing dirty clothes i love two and a half men it s amazing,ahhh i m sqeaky clean and fresh even though i m wearing dirty clothes i love two and a half men it s amazing,positive
yes i have read them many times,yes i have read them many times,neutral
cuz you play a grown up on twitter,cuz you play a grown up on twitter,neutral
i am living in ignorance,i am living in ignorance,negative
nope it is telling you that you want cameo creams,nope it is telling you that you want cameo creams,neutral
awwww we re going to miss you,awwww we re going to miss you,negative
its a relaxing place,its a relaxing place,positive
he couldn t do it should have cost his part,he couldn t do it should have cost his part,neutral
lovely,lovely,positive
sorry,sorry,negative
dammit,dammit,negative
it was amazing,it was amazing,positive
barbs trying to figure out y the dsl are not connecting i need my google going home to my computer if it don t start working soon smh,barbs trying to figure out y the dsl are not connecting i need my google going home to my computer if it don t start working soon smh,neutral
sick and sad,sick and sad,negative
seems really quiet tonight am jealous of those who are clearly having a more exciting life than me off to bed i think,seems really quiet tonight am jealous of those who are clearly having a more exciting life than me off to bed i think,neutral
really wishes he had some spare cash to buy the new punch out for wii,really wishes he had some spare cash to buy the new punch out for wii,negative
not going,not going,negative
so sorry,so sorry,negative
i feel for you i hope it s a smooth flight be safe,i feel for you i hope it s a smooth flight be safe,positive
can t sleep,can t sleep,negative
sad,sad,negative
sweet dreams,sweet dreams,positive
hay wats you are aim we should chat,hay wats you are aim we should chat,neutral
okay kool i might be touring all summer long but we can make it happen,okay kool i might be touring all summer long but we can make it happen,neutral
pain,pain,negative
time to watch op then some dead like me then sleep,time to watch op then some dead like me then sleep,neutral
having dinner with my grandma since i couldn t be with my mum,having dinner with my grandma since i couldn t be with my mum,neutral
haha thanks its for history and its on how the invention of television has influence america lol,haha thanks its for history and its on how the invention of television has influence america lol,positive
yea so wassup,yea so wassup,neutral
stupid,stupid,negative
shopped til i dropped come bac sunshine i miss you,shopped til i dropped come bac sunshine i miss you,negative
like,like,positive
thank you i ve had anxiety issues,thank you i ve had anxiety issues,neutral
around hours left until a day weekend and i have waaaay too much work to do,around hours left until a day weekend and i have waaaay too much work to do,neutral
loved,loved,positive
there were attempts to somehow extend inner classes which would be close to closure can t find the ref atm,there were attempts to somehow extend inner classes which would be close to closure can t find the ref atm,neutral
yes join us all we require is a cupcake donation,yes join us all we require is a cupcake donation,neutral
hard,hard,negative
terrible headache and super swollen and puffy eyes i do not think i am going out,terrible headache and super swollen and puffy eyes i do not think i am going out,negative
can t access your site,can t access your site,neutral
sun is shinning at last,sun is shinning at last,positive
slowest train ever,slowest train ever,negative
nup no cd either just a whole bunch of zeros and ones you can have for free,nup no cd either just a whole bunch of zeros and ones you can have for free,neutral
my graduation day and i feel like a failure,my graduation day and i feel like a failure,neutral
ops that lol was not supposed to got to twitter,ops that lol was not supposed to got to twitter,neutral
i don t think i ve ever been so tierd in my,i don t think i ve ever been so tierd in my,negative
what are you going to do today my girl,what are you going to do today my girl,neutral
why does not he want me anymore,why does not he want me anymore,negative
bad hair day,bad hair day,negative
headache,headache,negative
sorry,sorry,negative
i am just like the rest of the sane population in the world i hate mondays,i am just like the rest of the sane population in the world i hate mondays,neutral
mozart s requiem,mozart s requiem,neutral
i think i am a bit in love with his creations and wit but not that physically attracted to him although he has great style,i think i am a bit in love with his creations and wit but not that physically attracted to him although he has great style,neutral
thanks for another great day,thanks for another great day,positive
huh,huh,negative
ohshnapsss is she pissed at blair as usual hahah yeeeah i bake cookies,ohshnapsss is she pissed at blair as usual hahah yeeeah i bake cookies,neutral
no bueno hollykins needs to feel better as soon as possible i miss you you done with uni soon aren t you soproudofyo,no bueno hollykins needs to feel better as soon as possible i miss you you done with uni soon aren t you soproudofyo,neutral
